Cancer Type	Primary Site	Abbreviations	ENSEMBL Gene ID	HGNC Symbol	caGESP Tier
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000116014	KISS1R	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000157404	KIT	Tier II
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000188883	KLRG2	Tier I
Thymoma	Thymus	THYM	ENSG00000131650	KREMEN2	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000198910	L1CAM	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000089692	LAG3	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000167613	LAIR1	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000182866	LCK	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000186818	LILRB4	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000169783	LINGO1	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000171517	LPAR3	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000144749	LRIG1	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000081479	LRP2	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000081479	LRP2	Tier II
Breast invasive carcinoma	Breast	BRCA	ENSG00000172061	LRRC15	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000183908	LRRC55	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000183908	LRRC55	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000175928	LRRN1	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000175928	LRRN1	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000170382	LRRN2	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000170382	LRRN2	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000170382	LRRN2	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000125872	LRRN4	Tier II
Mesothelioma	Pleura	MESO	ENSG00000125872	LRRN4	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000177363	LRRN4CL	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000185565	LSAMP	Tier III
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000105699	LSR	Tier II
Stomach adenocarcinoma	Stomach	STAD	ENSG00000105699	LSR	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000226979	LTA	Tier II
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000167656	LY6D	Tier II
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000160932	LY6E	Tier II
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000160886	LY6K	Tier III
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000160886	LY6K	Tier I
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000160886	LY6K	Tier II
Thymoma	Thymus	THYM	ENSG00000160886	LY6K	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000054219	LY75	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000150551	LYPD1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000150551	LYPD1	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000150551	LYPD1	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000061337	LZTS1	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000061337	LZTS1	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000147676	MAL2	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000147676	MAL2	Tier II
Lung adenocarcinoma	Lung	LUAD	ENSG00000147676	MAL2	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000147676	MAL2	Tier III
Stomach adenocarcinoma	Stomach	STAD	ENSG00000147676	MAL2	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000186868	MAPT	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000277443	MARCKS	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000157890	MEGF11	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000105976	MET	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000105976	MET	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000105976	MET	Tier I
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000105976	MET	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000105976	MET	Tier III
Mesothelioma	Pleura	MESO	ENSG00000105976	MET	Tier III
Thyroid carcinoma	Thyroid	THCA	ENSG00000105976	MET	Tier II
Uveal Melanoma	Eye	UVM	ENSG00000105976	MET	Tier II
Mesothelioma	Pleura	MESO	ENSG00000163975	MFI2	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000163975	MFI2	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000161091	MFSD12	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000100427	MLC1	Tier I
Sarcoma	Soft Tissue	SARC	ENSG00000157227	MMP14	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000156103	MMP16	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000125966	MMP24	Tier II
Mesothelioma	Pleura	MESO	ENSG00000125966	MMP24	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000117400	MPL	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000102854	MSLN	Tier II
Mesothelioma	Pleura	MESO	ENSG00000102854	MSLN	Tier I
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000102854	MSLN	Tier I
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000102854	MSLN	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000185499	MUC1	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000205277	MUC12	Tier I
Colon adenocarcinoma	Colon	COAD	ENSG00000173702	MUC13	Tier I
Rectum adenocarcinoma	Rectal	READ	ENSG00000173702	MUC13	Tier I
Stomach adenocarcinoma	Stomach	STAD	ENSG00000173702	MUC13	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000169550	MUC15	Tier II
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000181143	MUC16	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000176945	MUC20	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000145555	MYO10	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000145555	MYO10	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000145555	MYO10	Tier III
Uveal Melanoma	Eye	UVM	ENSG00000145555	MYO10	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000149294	NCAM1	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000123338	NCKAP1L	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000171208	NETO2	Tier III
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000171208	NETO2	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000204386	NEU1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000169760	NLGN1	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000196338	NLGN3	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000196338	NLGN3	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000007952	NOX1	Tier I
Rectum adenocarcinoma	Rectal	READ	ENSG00000007952	NOX1	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000091129	NRCAM	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000091129	NRCAM	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000091129	NRCAM	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000174004	NRROS	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000110076	NRXN2	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000148053	NTRK2	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000132182	NUP210	Tier III
Thymoma	Thymus	THYM	ENSG00000198965	OR10R2	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000237988	OR2I1P	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000237988	OR2I1P	Tier I
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000237988	OR2I1P	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000180785	OR51E1	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000167332	OR51E2	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000165621	OXGR1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000169313	P2RY12	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000182162	P2RY8	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000150275	PCDH15	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000177839	PCDHB9	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000240184	PCDHGC3	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000240184	PCDHGC3	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000242419	PCDHGC4	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000162493	PDPN	Tier III
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000162493	PDPN	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000155629	PIK3AP1	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000105851	PIK3CG	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000166428	PLD4	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000100558	PLEK2	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000100558	PLEK2	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000100558	PLEK2	Tier III
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000100558	PLEK2	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000100558	PLEK2	Tier III
Thymoma	Thymus	THYM	ENSG00000100558	PLEK2	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000123560	PLP1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000124225	PMEPA1	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000114631	PODXL2	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000185900	POMK	Tier II
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000141934	PPAP2C	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000141934	PPAP2C	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000119973	PRLHR	Tier II
Mesothelioma	Pleura	MESO	ENSG00000101000	PROCR	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000169618	PROKR1	Tier I
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000007038	PRSS21	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000204624	PTCHD2	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000244694	PTCHD4	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000050628	PTGER3	Tier II
Uterine Carcinosarcoma	Uterine	UCS	ENSG00000112655	PTK7	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000213402	PTPRCAP	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000054356	PTPRN	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000155093	PTPRN2	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000106278	PTPRZ1	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000106278	PTPRZ1	Tier I
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000110400	PVRL1	Tier III
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000110400	PVRL1	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000186867	QRFPR	Tier I
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000186867	QRFPR	Tier I
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000132698	RAB25	Tier III
Uterine Carcinosarcoma	Uterine	UCS	ENSG00000169750	RAC3	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000165731	RET	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000148604	RGR	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000112077	RHAG	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000132677	RHBG	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000108375	RNF43	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000108375	RNF43	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000148123	RP11-35N6.1	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000215695	RSC1A1	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000173080	RXFP4	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000111319	SCNN1A	Tier II
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000115884	SDC1	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000115884	SDC1	Tier II
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000115884	SDC1	Tier II
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000115884	SDC1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000162512	SDC3	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000162512	SDC3	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000124145	SDC4	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000124145	SDC4	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000082684	SEMA5B	Tier I
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000168528	SERINC2	Tier II
Esophageal carcinoma	Esophagus	ESCA	ENSG00000168528	SERINC2	Tier II
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000188488	SERPINA5	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000174938	SEZ6L2	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000197046	SIGLEC15	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000137078	SIT1	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000158714	SLAMF8	Tier III
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000162723	SLAMF9	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000145248	SLC10A4	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000064651	SLC12A2	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000064651	SLC12A2	Tier III
Mesothelioma	Pleura	MESO	ENSG00000221955	SLC12A8	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000163406	SLC15A2	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000174326	SLC16A11	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000168679	SLC16A4	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000168679	SLC16A4	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000124564	SLC17A3	Tier I
Thyroid carcinoma	Thyroid	THCA	ENSG00000119899	SLC17A5	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000036565	SLC18A1	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000165646	SLC18A2	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000079215	SLC1A3	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000079215	SLC1A3	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000004809	SLC22A16	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000112499	SLC22A2	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000112499	SLC22A2	Tier II
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000149742	SLC22A9	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000164638	SLC29A4	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000164638	SLC29A4	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000117394	SLC2A1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000146411	SLC2A12	Tier III
Lung adenocarcinoma	Lung	LUAD	ENSG00000157765	SLC34A2	Tier I
Thyroid carcinoma	Thyroid	THCA	ENSG00000157765	SLC34A2	Tier I
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000147804	SLC39A4	Tier II
Breast invasive carcinoma	Breast	BRCA	ENSG00000141424	SLC39A6	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000141424	SLC39A6	Tier III
Mesothelioma	Pleura	MESO	ENSG00000138821	SLC39A8	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000138079	SLC3A1	Tier I
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000138079	SLC3A1	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000168003	SLC3A2	Tier II
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000143036	SLC44A3	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000143036	SLC44A3	Tier III
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000204385	SLC44A4	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000204385	SLC44A4	Tier I
Rectum adenocarcinoma	Rectal	READ	ENSG00000204385	SLC44A4	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000164175	SLC45A2	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000164175	SLC45A2	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000154025	SLC5A10	Tier II
Uveal Melanoma	Eye	UVM	ENSG00000197106	SLC6A17	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000103546	SLC6A2	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000142319	SLC6A3	Tier I
Thymoma	Thymus	THYM	ENSG00000165349	SLC7A3	Tier III
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000165349	SLC7A3	Tier I
Mesothelioma	Pleura	MESO	ENSG00000099960	SLC7A4	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000099960	SLC7A4	Tier III
Uveal Melanoma	Eye	UVM	ENSG00000099960	SLC7A4	Tier I
Esophageal carcinoma	Esophagus	ESCA	ENSG00000103257	SLC7A5	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000103257	SLC7A5	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000103257	SLC7A5	Tier II
Uveal Melanoma	Eye	UVM	ENSG00000103257	SLC7A5	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000092068	SLC7A8	Tier I
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000134538	SLCO1B1	Tier II
Thymoma	Thymus	THYM	ENSG00000137571	SLCO5A1	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000178235	SLITRK1	Tier II
Lung adenocarcinoma	Lung	LUAD	ENSG00000130768	SMPDL3B	Tier III
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000166145	SPINT1	Tier II
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000167642	SPINT2	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000197471	SPN	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000182557	SPNS3	Tier I
Colon adenocarcinoma	Colon	COAD	ENSG00000149418	ST14	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000149418	ST14	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000149418	ST14	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000149418	ST14	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000164647	STEAP1	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000157214	STEAP2	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000137868	STRA6	Tier III
Uterine Carcinosarcoma	Uterine	UCS	ENSG00000137868	STRA6	Tier III
Mesothelioma	Pleura	MESO	ENSG00000137573	SULF1	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000137573	SULF1	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000132872	SYT4	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000134207	SYT6	Tier III
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000184292	TACSTD2	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000184292	TACSTD2	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000256188	TAS2R30	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000255374	TAS2R43	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000226761	TAS2R46	Tier I
Thymoma	Thymus	THYM	ENSG00000241186	TDGF1	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000135605	TEC	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000163235	TGFA	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000154096	THY1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000154096	THY1	Tier II
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000169908	TM4SF1	Tier II
Mesothelioma	Pleura	MESO	ENSG00000169908	TM4SF1	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000169903	TM4SF4	Tier I
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000169903	TM4SF4	Tier I
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000169903	TM4SF4	Tier I
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000142484	TM4SF5	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000144339	TMEFF2	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000184988	TMEM106A	Tier III
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000006118	TMEM132A	Tier III
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000006118	TMEM132A	Tier III
Uveal Melanoma	Eye	UVM	ENSG00000206432	TMEM200C	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000147003	TMEM27	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000147003	TMEM27	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000182107	TMEM30B	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000171227	TMEM37	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000184012	TMPRSS2	Tier I
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000187045	TMPRSS6	Tier III
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000006327	TNFRSF12A	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000006327	TNFRSF12A	Tier I
Thyroid carcinoma	Thyroid	THCA	ENSG00000006327	TNFRSF12A	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000240505	TNFRSF13B	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000048462	TNFRSF17	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000049249	TNFRSF9	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000277734	TRAC	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000274752	TRBV12-3	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000095970	TREM2	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000095970	TREM2	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000095970	TREM2	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000095970	TREM2	Tier III
Mesothelioma	Pleura	MESO	ENSG00000095970	TREM2	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000134160	TRPM1	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000134160	TRPM1	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000130529	TRPM4	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000144481	TRPM8	Tier I
Thyroid carcinoma	Thyroid	THCA	ENSG00000165409	TSHR	Tier I
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000117472	TSPAN1	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000117472	TSPAN1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000117472	TSPAN1	Tier I
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000182612	TSPAN10	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000182612	TSPAN10	Tier I
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000106025	TSPAN12	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000106025	TSPAN12	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000064201	TSPAN32	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000127324	TSPAN8	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000127324	TSPAN8	Tier II
Stomach adenocarcinoma	Stomach	STAD	ENSG00000127324	TSPAN8	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000167614	TTYH1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000167614	TTYH1	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000174607	UGT8	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000174607	UGT8	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000131015	ULBP2	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000177398	UMODL1	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000113763	UNC5A	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000107731	UNC5B	Tier II
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000114638	UPK1B	Tier II
