"rownames(HR_result)"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"2475"	"P46063"	"0.095"	"1.1"	" (0.76-1.6)"	"0.25"	"0.62"
"2476"	"P46087"	"0.28"	"1.3"	" (0.91-1.9)"	"2.2"	"0.14"
"2477"	"P46100"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.3"	"0.26"
"2478"	"P46108"	"-0.26"	"0.77"	" (0.53-1.1)"	"1.9"	"0.17"
"2479"	"P46109"	"-0.047"	"0.95"	" (0.66-1.4)"	"0.061"	"0.8"
"2480"	"P46199"	"-0.043"	"0.96"	" (0.66-1.4)"	"0.051"	"0.82"
"2481"	"P46379"	"0.38"	"1.5"	" (1-2.1)"	"4.1"	"0.044"
"2482"	"P46439"	"-0.58"	"0.56"	" (0.37-0.85)"	"7.7"	"0.0055"
"2483"	"P46459"	"0.099"	"1.1"	" (0.76-1.6)"	"0.27"	"0.6"
"2484"	"P46527"	"-0.3"	"0.74"	" (0.51-1.1)"	"2.5"	"0.11"
"2485"	"P46531"	"0.15"	"1.2"	" (0.77-1.7)"	"0.49"	"0.48"
"2486"	"P46734"	"0.18"	"1.2"	" (0.83-1.7)"	"0.94"	"0.33"
"2487"	"P46736"	"-0.02"	"0.98"	" (0.68-1.4)"	"0.011"	"0.92"
"2488"	"P46776"	"0.44"	"1.6"	" (1.1-2.3)"	"5.4"	"0.02"
"2489"	"P46777"	"0.44"	"1.6"	" (1.1-2.3)"	"5.4"	"0.02"
"2490"	"P46778"	"0.33"	"1.4"	" (0.96-2)"	"3"	"0.081"
"2491"	"P46779"	"0.17"	"1.2"	" (0.82-1.7)"	"0.84"	"0.36"
"2492"	"P46781"	"0.34"	"1.4"	" (0.97-2)"	"3.3"	"0.07"
"2493"	"P46782"	"0.24"	"1.3"	" (0.88-1.8)"	"1.6"	"0.21"
"2494"	"P46783"	"0.27"	"1.3"	" (0.9-1.9)"	"2"	"0.16"
"2495"	"P46821"	"-0.23"	"0.8"	" (0.55-1.2)"	"1.4"	"0.23"
"2496"	"P46926"	"-0.08"	"0.92"	" (0.64-1.3)"	"0.18"	"0.67"
"2497"	"P46934"	"0.095"	"1.1"	" (0.76-1.6)"	"0.25"	"0.62"
"2498"	"P46937"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.28"
"2499"	"P46939"	"-0.6"	"0.55"	" (0.38-0.8)"	"9.7"	"0.0018"
"2500"	"P46940"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"2501"	"P46952"	"-0.56"	"0.57"	" (0.39-0.83)"	"8.7"	"0.0032"
"2502"	"P46976"	"-0.074"	"0.93"	" (0.64-1.3)"	"0.15"	"0.7"
"2503"	"P46977"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"2504"	"P47224"	"0.11"	"1.1"	" (0.77-1.6)"	"0.33"	"0.56"
"2505"	"P47712"	"0.02"	"1"	" (0.7-1.5)"	"0.011"	"0.92"
"2506"	"P47736"	"-0.23"	"0.79"	" (0.55-1.1)"	"1.5"	"0.22"
"2507"	"P47755"	"0.11"	"1.1"	" (0.77-1.6)"	"0.34"	"0.56"
"2508"	"P47756"	"0.46"	"1.6"	" (1.1-2.3)"	"5.7"	"0.017"
"2509"	"P47813"	"0.19"	"1.2"	" (0.82-1.8)"	"0.93"	"0.34"
"2510"	"P47895"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.29"
"2511"	"P47897"	"0.16"	"1.2"	" (0.81-1.7)"	"0.71"	"0.4"
"2512"	"P47914"	"0.081"	"1.1"	" (0.75-1.6)"	"0.18"	"0.67"
"2513"	"P47929"	"0.43"	"1.5"	" (1.1-2.2)"	"5.1"	"0.024"
"2514"	"P47974"	"-0.013"	"0.99"	" (0.67-1.4)"	"0.0042"	"0.95"
"2515"	"P47985"	"0.38"	"1.5"	" (1-2.1)"	"4"	"0.046"
"2516"	"P47989"	"0.43"	"1.5"	" (1.1-2.2)"	"5.2"	"0.022"
"2517"	"P48047"	"0.035"	"1"	" (0.71-1.5)"	"0.035"	"0.85"
"2518"	"P48052"	"-0.17"	"0.84"	" (0.58-1.2)"	"0.85"	"0.36"
"2519"	"P48059"	"-0.1"	"0.9"	" (0.62-1.3)"	"0.29"	"0.59"
"2520"	"P48060"	"0.49"	"1.6"	" (1.1-2.4)"	"6.7"	"0.0099"
"2521"	"P48061"	"-0.5"	"0.61"	" (0.42-0.88)"	"6.9"	"0.0086"
"2522"	"P48147"	"0.038"	"1"	" (0.72-1.5)"	"0.041"	"0.84"
"2523"	"P48163"	"-0.36"	"0.7"	" (0.48-1)"	"3.5"	"0.06"
"2524"	"P48200"	"0.16"	"1.2"	" (0.81-1.7)"	"0.73"	"0.39"
"2525"	"P48304"	"-0.24"	"0.78"	" (0.54-1.1)"	"1.6"	"0.2"
"2526"	"P48382"	"-0.18"	"0.83"	" (0.58-1.2)"	"0.92"	"0.34"
"2527"	"P48426"	"-0.065"	"0.94"	" (0.65-1.4)"	"0.12"	"0.73"
"2528"	"P48436"	"0.13"	"1.1"	" (0.75-1.8)"	"0.38"	"0.54"
"2529"	"P48444"	"0.1"	"1.1"	" (0.76-1.6)"	"0.29"	"0.59"
"2530"	"P48449"	"-0.027"	"0.97"	" (0.67-1.4)"	"0.02"	"0.89"
"2531"	"P48454"	"0.021"	"1"	" (0.7-1.5)"	"0.013"	"0.91"
"2532"	"P48506"	"0.16"	"1.2"	" (0.81-1.7)"	"0.7"	"0.4"
"2533"	"P48507"	"0.27"	"1.3"	" (0.9-1.9)"	"2"	"0.16"
"2534"	"P48509"	"0.49"	"1.6"	" (1.1-2.4)"	"6.7"	"0.0099"
"2535"	"P48553"	"0.036"	"1"	" (0.72-1.5)"	"0.035"	"0.85"
"2536"	"P48556"	"0.3"	"1.4"	" (0.93-2)"	"2.5"	"0.11"
"2537"	"P48594"	"0.23"	"1.3"	" (0.84-1.9)"	"1.2"	"0.27"
"2538"	"P48595"	"0.37"	"1.4"	" (1-2.1)"	"3.8"	"0.053"
"2539"	"P48634"	"0.24"	"1.3"	" (0.88-1.8)"	"1.6"	"0.21"
"2540"	"P48637"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.53"	"0.47"
"2541"	"P48643"	"0.3"	"1.4"	" (0.93-2)"	"2.5"	"0.11"
"2542"	"P48651"	"0.032"	"1"	" (0.71-1.5)"	"0.028"	"0.87"
"2543"	"P48681"	"-0.4"	"0.67"	" (0.46-0.97)"	"4.4"	"0.036"
"2544"	"P48723"	"0.23"	"1.3"	" (0.87-1.8)"	"1.5"	"0.22"
"2545"	"P48728"	"-0.27"	"0.77"	" (0.53-1.1)"	"2"	"0.16"
"2546"	"P48729"	"0.27"	"1.3"	" (0.9-1.9)"	"2"	"0.16"
"2547"	"P48730"	"0.26"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"2548"	"P48735"	"0.09"	"1.1"	" (0.75-1.6)"	"0.23"	"0.63"
"2549"	"P48736"	"0.44"	"1.6"	" (1.1-2.3)"	"5"	"0.025"
"2550"	"P48739"	"0.34"	"1.4"	" (0.97-2)"	"3.2"	"0.072"
"2551"	"P48740"	"0.041"	"1"	" (0.72-1.5)"	"0.047"	"0.83"
"2552"	"P48960"	"0.33"	"1.4"	" (0.96-2)"	"3.1"	"0.078"
"2553"	"P49005"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.29"
"2554"	"P49006"	"-0.059"	"0.94"	" (0.65-1.4)"	"0.098"	"0.75"
"2555"	"P49023"	"0.12"	"1.1"	" (0.78-1.6)"	"0.43"	"0.51"
"2556"	"P49069"	"-0.065"	"0.94"	" (0.64-1.4)"	"0.11"	"0.74"
"2557"	"P49116"	"-0.1"	"0.9"	" (0.62-1.3)"	"0.28"	"0.6"
"2558"	"P49137"	"0.19"	"1.2"	" (0.83-1.8)"	"1"	"0.32"
"2559"	"P49184"	"-0.045"	"0.96"	" (0.65-1.4)"	"0.052"	"0.82"
"2560"	"P49189"	"-0.7"	"0.49"	" (0.34-0.72)"	"13"	"0.00025"
"2561"	"P49207"	"0.12"	"1.1"	" (0.78-1.6)"	"0.38"	"0.54"
"2562"	"P49247"	"-0.089"	"0.91"	" (0.63-1.3)"	"0.22"	"0.64"
"2563"	"P49257"	"0.26"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"2564"	"P49279"	"0.32"	"1.4"	" (0.88-2.1)"	"2"	"0.16"
"2565"	"P49281"	"-0.014"	"0.99"	" (0.66-1.5)"	"0.0046"	"0.95"
"2566"	"P49321"	"0.28"	"1.3"	" (0.92-1.9)"	"2.3"	"0.13"
"2567"	"P49326"	"-0.68"	"0.51"	" (0.34-0.75)"	"12"	"0.00057"
"2568"	"P49327"	"0.57"	"1.8"	" (1.2-2.6)"	"9"	"0.0027"
"2569"	"P49354"	"0.092"	"1.1"	" (0.76-1.6)"	"0.24"	"0.63"
"2570"	"P49356"	"0.31"	"1.4"	" (0.94-2)"	"2.7"	"0.099"
"2571"	"P49366"	"0.16"	"1.2"	" (0.81-1.7)"	"0.69"	"0.41"
"2572"	"P49368"	"0.13"	"1.1"	" (0.78-1.6)"	"0.46"	"0.5"
"2573"	"P49406"	"-0.032"	"0.97"	" (0.67-1.4)"	"0.029"	"0.87"
"2574"	"P49407"	"-0.46"	"0.63"	" (0.44-0.92)"	"5.8"	"0.016"
"2575"	"P49411"	"-0.07"	"0.93"	" (0.64-1.4)"	"0.14"	"0.71"
"2576"	"P49418"	"-0.25"	"0.78"	" (0.54-1.1)"	"1.7"	"0.19"
"2577"	"P49419"	"-0.27"	"0.76"	" (0.52-1.1)"	"2.1"	"0.15"
"2578"	"P49427"	"-0.056"	"0.95"	" (0.65-1.4)"	"0.082"	"0.77"
"2579"	"P49441"	"-0.29"	"0.75"	" (0.52-1.1)"	"2.4"	"0.12"
"2580"	"P49447"	"0.12"	"1.1"	" (0.78-1.6)"	"0.42"	"0.52"
"2581"	"P49448"	"-0.47"	"0.62"	" (0.43-0.91)"	"6.1"	"0.013"
"2582"	"P49454"	"0.074"	"1.1"	" (0.69-1.7)"	"0.1"	"0.75"
"2583"	"P49458"	"0.065"	"1.1"	" (0.74-1.5)"	"0.12"	"0.73"
"2584"	"P49459"	"0.44"	"1.6"	" (1.1-2.3)"	"5.4"	"0.02"
"2585"	"P49585"	"0.09"	"1.1"	" (0.75-1.6)"	"0.23"	"0.63"
"2586"	"P49588"	"0.019"	"1"	" (0.7-1.5)"	"0.01"	"0.92"
"2587"	"P49589"	"0.33"	"1.4"	" (0.96-2)"	"3"	"0.083"
"2588"	"P49590"	"0.12"	"1.1"	" (0.78-1.6)"	"0.38"	"0.54"
"2589"	"P49591"	"0.23"	"1.3"	" (0.87-1.8)"	"1.5"	"0.22"
"2590"	"P49593"	"-0.012"	"0.99"	" (0.68-1.4)"	"0.0038"	"0.95"
"2591"	"P49641"	"-0.19"	"0.83"	" (0.57-1.2)"	"1"	"0.31"
"2592"	"P49642"	"0.19"	"1.2"	" (0.81-1.8)"	"0.85"	"0.36"
"2593"	"P49643"	"0.37"	"1.4"	" (0.98-2.1)"	"3.5"	"0.063"
"2594"	"P49662"	"0.52"	"1.7"	" (1.2-2.5)"	"7.5"	"0.0061"
"2595"	"P49674"	"-0.37"	"0.69"	" (0.44-1.1)"	"2.7"	"0.1"
"2596"	"P49711"	"-0.27"	"0.76"	" (0.52-1.1)"	"2.1"	"0.15"
"2597"	"P49720"	"0.23"	"1.3"	" (0.87-1.8)"	"1.5"	"0.22"
"2598"	"P49721"	"0.34"	"1.4"	" (0.97-2)"	"3.3"	"0.07"
"2599"	"P49736"	"0.52"	"1.7"	" (1.2-2.5)"	"7.6"	"0.0059"
"2600"	"P49746"	"-0.065"	"0.94"	" (0.65-1.4)"	"0.12"	"0.73"
"2601"	"P49747"	"0.049"	"1.1"	" (0.72-1.5)"	"0.067"	"0.8"
"2602"	"P49748"	"-0.3"	"0.74"	" (0.51-1.1)"	"2.5"	"0.12"
"2603"	"P49750"	"0.23"	"1.3"	" (0.87-1.8)"	"1.5"	"0.22"
"2604"	"P49753"	"-0.15"	"0.86"	" (0.55-1.3)"	"0.44"	"0.51"
"2605"	"P49754"	"0.18"	"1.2"	" (0.82-1.7)"	"0.9"	"0.34"
"2606"	"P49755"	"0.32"	"1.4"	" (0.95-2)"	"2.9"	"0.09"
"2607"	"P49756"	"0.11"	"1.1"	" (0.77-1.6)"	"0.33"	"0.57"
"2608"	"P49757"	"0.22"	"1.2"	" (0.86-1.8)"	"1.3"	"0.25"
"2609"	"P49761"	"0.23"	"1.3"	" (0.83-1.9)"	"1.2"	"0.28"
"2610"	"P49768"	"0.24"	"1.3"	" (0.88-1.9)"	"1.7"	"0.2"
"2611"	"P49770"	"0.13"	"1.1"	" (0.79-1.7)"	"0.49"	"0.48"
"2612"	"P49773"	"0.16"	"1.2"	" (0.81-1.7)"	"0.75"	"0.39"
"2613"	"P49788"	"0.47"	"1.6"	" (1.1-2.3)"	"6"	"0.015"
"2614"	"P49789"	"-0.19"	"0.83"	" (0.57-1.2)"	"1"	"0.32"
"2615"	"P49790"	"0.24"	"1.3"	" (0.88-1.9)"	"1.7"	"0.2"
"2616"	"P49792"	"0.092"	"1.1"	" (0.76-1.6)"	"0.24"	"0.63"
"2617"	"P49795"	"0.3"	"1.4"	" (0.93-2)"	"2.6"	"0.11"
"2618"	"P49796"	"0.32"	"1.4"	" (0.95-2)"	"2.8"	"0.092"
"2619"	"P49815"	"0.28"	"1.3"	" (0.91-1.9)"	"2.2"	"0.14"
"2620"	"P49821"	"0.17"	"1.2"	" (0.82-1.7)"	"0.79"	"0.37"
"2621"	"P49840"	"-0.26"	"0.77"	" (0.53-1.1)"	"1.9"	"0.17"
"2622"	"P49841"	"0.35"	"1.4"	" (0.97-2.1)"	"3.3"	"0.068"
"2623"	"P49848"	"0.16"	"1.2"	" (0.81-1.7)"	"0.76"	"0.38"
"2624"	"P49862"	"0.22"	"1.2"	" (0.85-1.8)"	"1.3"	"0.26"
"2625"	"P49863"	"-0.066"	"0.94"	" (0.65-1.4)"	"0.12"	"0.73"
"2626"	"P49888"	"0.052"	"1.1"	" (0.69-1.6)"	"0.056"	"0.81"
"2627"	"P49902"	"0.21"	"1.2"	" (0.85-1.8)"	"1.3"	"0.26"
"2628"	"P49903"	"0.028"	"1"	" (0.71-1.5)"	"0.021"	"0.88"
"2629"	"P49908"	"-0.42"	"0.65"	" (0.45-0.95)"	"5"	"0.026"
"2630"	"P49913"	"0.52"	"1.7"	" (1.2-2.5)"	"7.5"	"0.0062"
"2631"	"P49914"	"-0.31"	"0.73"	" (0.5-1.1)"	"2.7"	"0.097"
"2632"	"P49915"	"0.41"	"1.5"	" (1-2.2)"	"4.6"	"0.033"
"2633"	"P49916"	"0.15"	"1.2"	" (0.8-1.7)"	"0.63"	"0.43"
"2634"	"P49917"	"0.26"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"2635"	"P49959"	"-0.13"	"0.88"	" (0.61-1.3)"	"0.45"	"0.5"
"2636"	"P49961"	"-0.11"	"0.89"	" (0.62-1.3)"	"0.35"	"0.55"
"2637"	"P50053"	"-0.19"	"0.83"	" (0.56-1.2)"	"0.93"	"0.34"
"2638"	"P50135"	"-0.31"	"0.74"	" (0.51-1.1)"	"2.6"	"0.11"
"2639"	"P50148"	"-0.52"	"0.59"	" (0.41-0.86)"	"7.5"	"0.0062"
"2640"	"P50150"	"0.086"	"1.1"	" (0.74-1.6)"	"0.19"	"0.66"
"2641"	"P50213"	"-0.064"	"0.94"	" (0.65-1.4)"	"0.11"	"0.74"
"2642"	"P50219"	"0.17"	"1.2"	" (0.81-1.7)"	"0.81"	"0.37"
"2643"	"P50225"	"-0.024"	"0.98"	" (0.67-1.4)"	"0.015"	"0.9"
"2644"	"P50238"	"0.067"	"1.1"	" (0.74-1.5)"	"0.12"	"0.73"
"2645"	"P50281"	"0.48"	"1.6"	" (1.1-2.4)"	"6.4"	"0.011"
"2646"	"P50336"	"-0.34"	"0.71"	" (0.49-1)"	"3.2"	"0.075"
"2647"	"P50395"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.2"	"0.27"
"2648"	"P50402"	"-0.37"	"0.69"	" (0.48-1)"	"3.8"	"0.053"
"2649"	"P50416"	"-0.56"	"0.57"	" (0.39-0.83)"	"8.6"	"0.0033"
"2650"	"P50440"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.3"	"0.26"
"2651"	"P50452"	"0.055"	"1.1"	" (0.73-1.5)"	"0.084"	"0.77"
"2652"	"P50453"	"0.29"	"1.3"	" (0.92-1.9)"	"2.3"	"0.13"
"2653"	"P50454"	"0.5"	"1.7"	" (1.1-2.4)"	"7"	"0.0081"
"2654"	"P50479"	"-0.081"	"0.92"	" (0.64-1.3)"	"0.18"	"0.67"
"2655"	"P50502"	"-0.26"	"0.77"	" (0.52-1.2)"	"1.6"	"0.2"
"2656"	"P50542"	"-0.13"	"0.88"	" (0.61-1.3)"	"0.44"	"0.51"
"2657"	"P50548"	"-0.36"	"0.7"	" (0.48-1)"	"3.3"	"0.069"
"2658"	"P50552"	"0.36"	"1.4"	" (0.99-2.1)"	"3.6"	"0.058"
"2659"	"P50570"	"0.17"	"1.2"	" (0.82-1.7)"	"0.8"	"0.37"
"2660"	"P50579"	"0.16"	"1.2"	" (0.81-1.7)"	"0.69"	"0.41"
"2661"	"P50583"	"0.032"	"1"	" (0.71-1.5)"	"0.029"	"0.87"
"2662"	"P50591"	"0.52"	"1.7"	" (1.1-2.6)"	"5.6"	"0.018"
"2663"	"P50613"	"0.35"	"1.4"	" (0.97-2.1)"	"3.3"	"0.068"
"2664"	"P50747"	"-0.054"	"0.95"	" (0.64-1.4)"	"0.075"	"0.78"
"2665"	"P50748"	"0.27"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"2666"	"P50749"	"0.092"	"1.1"	" (0.76-1.6)"	"0.24"	"0.63"
"2667"	"P50750"	"0.3"	"1.3"	" (0.93-1.9)"	"2.4"	"0.12"
"2668"	"P50851"	"0.15"	"1.2"	" (0.8-1.7)"	"0.59"	"0.44"
"2669"	"P50895"	"-0.26"	"0.77"	" (0.53-1.1)"	"1.8"	"0.18"
"2670"	"P50897"	"0.24"	"1.3"	" (0.88-1.9)"	"1.6"	"0.2"
"2671"	"P50914"	"0.17"	"1.2"	" (0.82-1.7)"	"0.8"	"0.37"
"2672"	"P50990"	"0.39"	"1.5"	" (1-2.1)"	"4.2"	"0.041"
"2673"	"P50991"	"0.24"	"1.3"	" (0.88-1.8)"	"1.6"	"0.21"
"2674"	"P50995"	"0.11"	"1.1"	" (0.77-1.6)"	"0.34"	"0.56"
"2675"	"P51003"	"0.15"	"1.2"	" (0.8-1.7)"	"0.65"	"0.42"
"2676"	"P51114"	"0.23"	"1.3"	" (0.86-1.8)"	"1.4"	"0.23"
"2677"	"P51116"	"-0.088"	"0.92"	" (0.63-1.3)"	"0.22"	"0.64"
"2678"	"P51148"	"0.11"	"1.1"	" (0.77-1.6)"	"0.32"	"0.57"
"2679"	"P51149"	"0.32"	"1.4"	" (0.95-2)"	"2.9"	"0.09"
"2680"	"P51151"	"0.12"	"1.1"	" (0.78-1.6)"	"0.42"	"0.51"
"2681"	"P51153"	"0.051"	"1.1"	" (0.73-1.5)"	"0.074"	"0.79"
"2682"	"P51157"	"-0.094"	"0.91"	" (0.62-1.3)"	"0.23"	"0.63"
"2683"	"P51159"	"0.32"	"1.4"	" (0.95-2)"	"2.9"	"0.088"
"2684"	"P51161"	"0.066"	"1.1"	" (0.72-1.6)"	"0.11"	"0.74"
"2685"	"P51178"	"-0.32"	"0.72"	" (0.5-1)"	"2.9"	"0.088"
"2686"	"P51397"	"-0.69"	"0.5"	" (0.34-0.73)"	"13"	"0.00032"
"2687"	"P51398"	"0.18"	"1.2"	" (0.83-1.7)"	"0.94"	"0.33"
"2688"	"P51452"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"2689"	"P51531"	"-0.25"	"0.78"	" (0.53-1.1)"	"1.8"	"0.18"
"2690"	"P51532"	"-0.043"	"0.96"	" (0.66-1.4)"	"0.051"	"0.82"
"2691"	"P51553"	"-0.19"	"0.83"	" (0.57-1.2)"	"1"	"0.32"
"2692"	"P51570"	"-0.24"	"0.78"	" (0.54-1.1)"	"1.7"	"0.2"
"2693"	"P51571"	"-0.09"	"0.91"	" (0.63-1.3)"	"0.22"	"0.64"
"2694"	"P51572"	"0.073"	"1.1"	" (0.74-1.6)"	"0.15"	"0.7"
"2695"	"P51580"	"-0.073"	"0.93"	" (0.64-1.3)"	"0.15"	"0.7"
"2696"	"P51606"	"0.05"	"1.1"	" (0.72-1.5)"	"0.07"	"0.79"
"2697"	"P51608"	"-0.36"	"0.7"	" (0.48-1)"	"3.6"	"0.058"
"2698"	"P51610"	"-0.19"	"0.83"	" (0.57-1.2)"	"0.98"	"0.32"
"2699"	"P51617"	"-0.01"	"0.99"	" (0.68-1.4)"	"0.0031"	"0.96"
"2700"	"P51636"	"-0.11"	"0.9"	" (0.62-1.3)"	"0.31"	"0.58"
"2701"	"P51648"	"0.1"	"1.1"	" (0.76-1.6)"	"0.28"	"0.6"
"2702"	"P51649"	"-0.36"	"0.7"	" (0.48-1)"	"3.7"	"0.056"
"2703"	"P51659"	"0.24"	"1.3"	" (0.87-1.8)"	"1.6"	"0.21"
"2704"	"P51665"	"0.36"	"1.4"	" (0.99-2.1)"	"3.7"	"0.056"
"2705"	"P51668"	"-0.035"	"0.97"	" (0.63-1.5)"	"0.026"	"0.87"
"2706"	"P51687"	"-0.22"	"0.8"	" (0.55-1.2)"	"1.4"	"0.24"
"2707"	"P51688"	"-0.32"	"0.73"	" (0.5-1.1)"	"2.8"	"0.097"
"2708"	"P51689"	"0.12"	"1.1"	" (0.78-1.6)"	"0.4"	"0.53"
"2709"	"P51690"	"-0.25"	"0.78"	" (0.54-1.1)"	"1.7"	"0.19"
"2710"	"P51692"	"0.12"	"1.1"	" (0.78-1.6)"	"0.4"	"0.53"
"2711"	"P51784"	"0.17"	"1.2"	" (0.81-1.7)"	"0.76"	"0.38"
"2712"	"P51790"	"0.0041"	"1"	" (0.69-1.5)"	"0.00047"	"0.98"
"2713"	"P51798"	"0.18"	"1.2"	" (0.83-1.7)"	"0.93"	"0.34"
"2714"	"P51805"	"0.13"	"1.1"	" (0.76-1.7)"	"0.41"	"0.52"
"2715"	"P51808"	"-0.079"	"0.92"	" (0.64-1.3)"	"0.18"	"0.67"
"2716"	"P51809"	"0.051"	"1.1"	" (0.73-1.5)"	"0.073"	"0.79"
"2717"	"P51812"	"-0.32"	"0.73"	" (0.5-1.1)"	"2.8"	"0.097"
"2718"	"P51828"	"0.021"	"1"	" (0.66-1.6)"	"0.009"	"0.92"
"2719"	"P51858"	"0.16"	"1.2"	" (0.81-1.7)"	"0.7"	"0.4"
"2720"	"P51884"	"-0.41"	"0.67"	" (0.46-0.97)"	"4.6"	"0.032"
"2721"	"P51888"	"-0.36"	"0.7"	" (0.48-1)"	"3.6"	"0.057"
"2722"	"P51911"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.28"
"2723"	"P51946"	"0.21"	"1.2"	" (0.84-1.8)"	"1.2"	"0.27"
"2724"	"P51948"	"0.02"	"1"	" (0.7-1.5)"	"0.01"	"0.92"
"2725"	"P51970"	"0.14"	"1.2"	" (0.79-1.7)"	"0.55"	"0.46"
"2726"	"P51991"	"0.1"	"1.1"	" (0.76-1.6)"	"0.28"	"0.6"
"2727"	"P52209"	"0.5"	"1.6"	" (1.1-2.4)"	"6.8"	"0.0091"
"2728"	"P52272"	"0.0019"	"1"	" (0.69-1.5)"	"9.6e-05"	"0.99"
"2729"	"P52292"	"0.33"	"1.4"	" (0.96-2)"	"3"	"0.081"
"2730"	"P52294"	"0.091"	"1.1"	" (0.76-1.6)"	"0.23"	"0.63"
"2731"	"P52298"	"0.32"	"1.4"	" (0.95-2)"	"2.9"	"0.089"
"2732"	"P52306"	"0.17"	"1.2"	" (0.82-1.7)"	"0.83"	"0.36"
"2733"	"P52333"	"0.032"	"1"	" (0.71-1.5)"	"0.027"	"0.87"
"2734"	"P52434"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"2735"	"P52564"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.58"	"0.45"
"2736"	"P52565"	"0.12"	"1.1"	" (0.78-1.6)"	"0.38"	"0.54"
"2737"	"P52566"	"0.18"	"1.2"	" (0.82-1.7)"	"0.9"	"0.34"
"2738"	"P52594"	"0.095"	"1.1"	" (0.76-1.6)"	"0.25"	"0.61"
"2739"	"P52597"	"0.12"	"1.1"	" (0.78-1.6)"	"0.38"	"0.54"
"2740"	"P52630"	"0.33"	"1.4"	" (0.96-2)"	"3"	"0.085"
"2741"	"P52655"	"-0.038"	"0.96"	" (0.65-1.4)"	"0.037"	"0.85"
"2742"	"P52657"	"-0.21"	"0.81"	" (0.55-1.2)"	"1.2"	"0.28"
"2743"	"P52701"	"0.02"	"1"	" (0.7-1.5)"	"0.011"	"0.92"
"2744"	"P52732"	"0.29"	"1.3"	" (0.9-2)"	"2"	"0.15"
"2745"	"P52735"	"0.03"	"1"	" (0.71-1.5)"	"0.024"	"0.88"
"2746"	"P52747"	"-0.21"	"0.81"	" (0.53-1.2)"	"0.97"	"0.32"
"2747"	"P52756"	"0.36"	"1.4"	" (0.99-2.1)"	"3.6"	"0.059"
"2748"	"P52757"	"-0.31"	"0.73"	" (0.49-1.1)"	"2.2"	"0.14"
"2749"	"P52758"	"-0.27"	"0.77"	" (0.53-1.1)"	"2"	"0.16"
"2750"	"P52788"	"0.52"	"1.7"	" (1.2-2.5)"	"7.6"	"0.0059"
"2751"	"P52789"	"0.56"	"1.7"	" (1.2-2.5)"	"8.5"	"0.0035"
"2752"	"P52790"	"0.57"	"1.8"	" (1.2-2.6)"	"9.1"	"0.0026"
"2753"	"P52799"	"0.28"	"1.3"	" (0.89-2)"	"1.9"	"0.17"
"2754"	"P52815"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.54"	"0.46"
"2755"	"P52823"	"0.33"	"1.4"	" (0.93-2.1)"	"2.6"	"0.11"
"2756"	"P52824"	"-0.12"	"0.88"	" (0.61-1.3)"	"0.43"	"0.51"
"2757"	"P52848"	"0.16"	"1.2"	" (0.77-1.8)"	"0.57"	"0.45"
"2758"	"P52888"	"0.18"	"1.2"	" (0.83-1.7)"	"0.9"	"0.34"
"2759"	"P52895"	"0.22"	"1.3"	" (0.83-1.9)"	"1.1"	"0.29"
"2760"	"P52907"	"0.41"	"1.5"	" (1-2.2)"	"4.6"	"0.031"
"2761"	"P52926"	"-0.049"	"0.95"	" (0.66-1.4)"	"0.067"	"0.8"
"2762"	"P52943"	"0.073"	"1.1"	" (0.74-1.6)"	"0.15"	"0.7"
"2763"	"P52948"	"0.17"	"1.2"	" (0.81-1.7)"	"0.77"	"0.38"
"2764"	"P53004"	"0.46"	"1.6"	" (1.1-2.3)"	"6"	"0.014"
"2765"	"P53007"	"-0.22"	"0.8"	" (0.55-1.2)"	"1.4"	"0.24"
"2766"	"P53041"	"-0.053"	"0.95"	" (0.65-1.4)"	"0.079"	"0.78"
"2767"	"P53355"	"-0.2"	"0.81"	" (0.56-1.2)"	"1.2"	"0.28"
"2768"	"P53365"	"0.045"	"1"	" (0.72-1.5)"	"0.056"	"0.81"
"2769"	"P53367"	"0.17"	"1.2"	" (0.82-1.7)"	"0.85"	"0.36"
"2770"	"P53384"	"0.076"	"1.1"	" (0.74-1.6)"	"0.16"	"0.69"
"2771"	"P53396"	"0.44"	"1.6"	" (1.1-2.3)"	"5.4"	"0.02"
