symbol	Entrez	UNIPROT	EV_number of experiment	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
XPO5	57510	Q9HAV4	26	8	11	1	3	0	3	0	0	0	0
ITM2C	81618	Q9NQX7	26	10	8	3	1	0	4	0	0	0	0
ATP2B3	492	Q16720	26	9	7	4	1	0	5	0	0	0	0
CDH3	1001	P22223	26	11	4	3	4	0	4	0	0	0	0
CPS1	1373	P31327	26	7	3	3	6	4	3	0	0	0	0
PFDN2	5202	Q9UHV9	26	8	5	1	2	0	10	0	0	0	0
TXNL1	9352	O43396	26	10	6	2	4	0	4	0	0	0	0
SF3A3	10946	Q12874	26	7	7	2	6	3	1	0	0	0	0
COPZ1	22818	P61923	26	16	4	1	4	0	1	0	0	0	0
VPS36	51028	Q86VN1	26	10	6	4	4	0	2	0	0	0	0
SPTBN4	57731	Q9H254	26	12	2	2	5	0	5	0	0	0	0
RIC8A	60626	Q9NPQ8	26	4	9	2	1	0	10	0	0	0	0
ANPEP	290	P15144	26	8	9	3	2	0	4	0	0	0	0
LRBA	987	P50851	26	9	6	3	4	0	4	0	0	0	0
CPD	1362	O75976	26	4	8	3	2	0	9	0	0	0	0
DDX1	1653	Q92499	26	4	10	4	1	0	7	0	0	0	0
GNAO1	2775	P09471	26	12	5	2	5	0	2	0	0	0	0
GNAT2	2780	P19087	26	14	4	2	4	0	2	0	0	0	0
GYS1	2997	P13807	26	11	8	3	0	0	4	0	0	0	0
UBE2K	3093	P61086	26	10	7	3	1	0	5	0	0	0	0
PNP	4860	P00491	26	14	5	2	3	1	1	0	0	0	0
CTSA	5476	P10619	26	3	8	4	0	6	5	0	0	0	0
PRKCI	5584	P41743	26	9	11	2	1	0	3	0	0	0	0
RFC4	5984	P35249	26	6	5	4	3	0	8	0	0	0	0
RPS6KA1	6195	Q15418	26	9	5	2	5	0	5	0	0	0	0
SMC1A	8243	Q14683	26	9	10	0	4	0	3	0	0	0	0
KEAP1	9817	Q14145	26	9	5	4	4	0	4	0	0	0	0
TOM1L1	10040	O75674	26	9	7	2	1	0	7	0	0	0	0
AP1M2	10053	Q9Y6Q5	26	8	6	1	5	0	6	0	0	0	0
ERO1L	30001	Q96HE7	26	12	1	2	5	0	6	0	0	0	0
LRRC1	55227	Q9BTT6	26	11	10	1	3	0	1	0	0	0	0
DOCK7	85440	Q96N67	26	12	8	3	2	0	1	0	0	0	0
TSN	7247	Q15631	26	11	7	5	2	0	1	0	0	0	0
HEPH	9843	Q9BQS7	26	10	5	1	6	0	4	0	0	0	0
TMOD3	29766	Q9NYL9	26	10	7	2	3	0	4	0	0	0	0
IPO4	79711	Q8TEX9	26	10	8	4	0	0	4	0	0	0	0
EIF5	1983	P55010	26	15	6	3	1	0	1	0	0	0	0
COG2	22796	Q14746	26	13	1	1	5	0	6	0	0	0	0
HNRNPH2	3188	P55795	26	11	6	4	0	0	5	0	0	0	0
MARCKS	4082	P29966	25	8	6	2	2	2	5	0	0	0	0
ATIC	471	P31939	25	13	8	2	2	0	0	0	0	0	0
SERPINC1	462	P01008	25	3	6	2	3	10	0	0	0	0	1
MDH1	4190	P40925	25	13	9	2	1	0	0	0	0	0	0
AIDA	64853	Q96BJ3	25	13	5	1	2	0	4	0	0	0	0
DDX3X	1654	O00571	25	13	8	1	2	0	1	0	0	0	0
PA2G4	5036	Q9UQ80	25	14	7	1	1	1	1	0	0	0	0
RPLP1	6176	P05386	25	9	5	4	2	0	5	0	0	0	0
CD47	961	Q08722	25	10	10	4	0	0	1	0	0	0	0
CTNNA2	1496	P26232	25	14	3	2	4	0	2	0	0	0	0
FLNC	2318	Q14315	25	9	10	1	3	0	2	0	0	0	0
SGTA	6449	O43765	25	10	8	3	2	0	2	0	0	0	0
SF3B1	23451	O75533	25	8	7	1	2	2	5	0	0	0	0
HPRT1	3251	P00492	25	14	5	2	1	1	2	0	0	0	0
BCAM	4059	P50895	25	5	7	2	2	0	9	0	0	0	0
MYH11	4629	P35749	25	17	1	1	3	0	3	0	0	0	0
SLC7A1	6541	P30825	25	8	9	2	4	1	1	0	0	0	0
COL18A1	80781	P39060	25	4	9	4	5	2	1	0	0	0	0
DNAJB1	3337	P25685	25	9	7	2	2	0	5	0	0	0	0
GRHPR	9380	Q9UBQ7	25	12	6	2	1	0	4	0	0	0	0
LAP3	51056	P28838	25	14	9	1	0	0	1	0	0	0	0
ATP1A2	477	P50993	25	18	0	1	1	1	4	0	0	0	0
CAPN5	726	O15484	25	8	10	1	1	1	4	0	0	0	0
FDPS	2224	P14324	25	9	9	2	2	0	3	0	0	0	0
MYO6	4646	Q9UM54	25	13	4	3	3	0	2	0	0	0	0
PSMC6	5706	P62333	25	14	4	3	1	3	0	0	0	0	0
SFPQ	6421	P23246	25	5	7	3	3	0	7	0	0	0	0
GPC6	10082	Q9Y625	25	4	10	5	1	0	5	0	0	0	0
DCBLD2	131566	Q96PD2	25	7	9	3	2	1	3	0	0	0	0
LOXL2	4017	Q9Y4K0	25	2	5	4	3	6	5	0	0	0	0
SMS	6611	P52788	25	6	9	3	2	0	5	0	0	0	0
ATP6V0D1	9114	P61421	25	10	8	4	1	0	2	0	0	0	0
RPL23	9349	P62829	25	11	6	3	1	0	4	0	0	0	0
SMPDL3B	27293	Q92485	25	10	6	0	5	0	4	0	0	0	0
PSMC1	5700	P62191	25	13	7	3	1	1	0	0	0	0	0
MYL12A	10627	P19105	25	13	4	3	2	0	3	0	0	0	0
EFR3A	23167	Q14156	25	7	10	0	4	0	4	0	0	0	0
HIST1H2BA	255626	Q96A08	25	18	4	0	1	0	2	0	0	0	0
PARP4	143	Q9UKK3	25	12	8	3	1	0	1	0	0	0	0
ALDH1A1	216	P00352	25	8	3	4	3	4	3	0	0	0	0
EIF6	3692	P56537	25	16	7	1	1	0	0	0	0	0	0
PPIH	10465	O43447	25	6	5	1	2	0	11	0	0	0	0
CDC37	11140	Q16543	25	8	9	4	0	0	4	0	0	0	0
LRRC47	57470	Q8N1G4	25	9	6	5	1	0	4	0	0	0	0
LAMA4	3910	Q16363	25	4	5	2	1	8	5	0	0	0	0
LDLR	3949	P01130	25	9	8	3	4	1	0	0	0	0	0
RPL35A	6165	P18077	25	13	5	3	2	1	1	0	0	0	0
VDAC1	7416	P21796	25	10	8	3	1	0	3	0	0	0	0
TNFRSF10D	8793	Q9UBN6	25	8	4	3	2	0	8	0	0	0	0
LYPLA2	11313	O95372	25	15	5	2	1	0	2	0	0	0	0
TMEM30A	55754	Q9NV96	25	7	11	1	4	0	2	0	0	0	0
LANCL2	55915	Q9NS86	25	5	6	3	1	0	10	0	0	0	0
SLC38A1	81539	Q9H2H9	25	4	5	5	5	0	6	0	0	0	0
ARPC5L	81873	Q9BPX5	25	10	9	2	2	0	2	0	0	0	0
CBR3	874	O75828	25	15	3	1	5	0	1	0	0	0	0
LCK	3932	P06239	25	18	5	1	0	0	1	0	0	0	0
PREP	5550	P48147	25	7	6	2	2	0	8	0	0	0	0
RAB3A	5864	P20336	25	13	4	1	6	0	1	0	0	0	0
SRSF6	6431	Q13247	25	9	10	2	2	0	2	0	0	0	0
VAMP7	6845	P51809	25	9	9	2	0	0	5	0	0	0	0
VBP1	7411	P61758	25	6	6	1	3	0	9	0	0	0	0
GLRX3	10539	O76003	25	9	9	4	3	0	0	0	0	0	0
TXNDC5	81567	Q8NBS9	25	9	5	4	3	1	3	0	0	0	0
CHMP4C	92421	Q96CF2	25	16	2	1	3	0	3	0	0	0	0
CCNY	219771	Q8ND76	25	7	6	3	4	0	5	0	0	0	0
ACE	1636	P12821	25	16	5	2	0	0	2	0	0	0	0
PFKM	5213	P08237	25	9	9	0	5	0	2	0	0	0	0
SOD1	6647	P00441	25	11	6	2	5	1	0	0	0	0	0
VAMP3	9341	Q15836	25	12	9	2	1	0	1	0	0	0	0
EIF5B	9669	O60841	25	12	8	4	0	0	1	0	0	0	0
FAM120A	23196	Q9NZB2	25	7	10	1	3	0	4	0	0	0	0
PLD3	23646	Q8IV08	25	5	9	4	2	0	5	0	0	0	0
SNX9	51429	Q9Y5X1	25	7	5	3	3	0	7	0	0	0	0
VPS29	51699	Q9UBQ0	25	10	10	2	1	0	2	0	0	0	0
RAB39A	54734	Q14964	25	11	6	1	3	0	4	0	0	0	0
LEPRE1	64175	Q32P28	25	3	7	4	2	6	3	0	0	0	0
DHFR	1719	P00374	25	9	4	2	0	0	10	0	0	0	0
EFNB1	1947	P98172	25	15	7	2	0	0	1	0	0	0	0
FNTA	2339	P49354	25	1	9	4	2	0	9	0	0	0	0
GAA	2548	P10253	25	10	8	3	3	0	1	0	0	0	0
HMGCS1	3157	Q01581	25	12	6	4	3	0	0	0	0	0	0
PRKAG1	5571	P54619	25	8	8	3	3	0	3	0	0	0	0
ATP6AP2	10159	O75787	25	12	5	2	3	0	3	0	0	0	0
SEC23A	10484	Q15436	25	10	8	2	1	0	4	0	0	0	0
EXOC5	10640	O00471	25	7	8	0	1	0	9	0	0	0	0
LUC7L2	51631	Q9Y383	25	10	4	3	4	0	4	0	0	0	0
RHOF	54509	Q9HBH0	25	12	9	1	2	0	1	0	0	0	0
ARL8B	55207	Q9NVJ2	25	10	9	2	0	0	4	0	0	0	0
EXOC1	55763	Q9NV70	25	9	6	1	4	0	5	0	0	0	0
MPP5	64398	Q8N3R9	25	12	3	2	0	0	8	0	0	0	0
GNAT3	346562	A8MTJ3	25	11	4	3	3	0	4	0	0	0	0
KPNA1	3836	P52294	25	7	10	3	1	0	4	0	0	0	0
KRT3	3850	P12035	25	15	5	0	1	0	4	0	0	0	0
LGALS4	3960	P56470	25	16	5	1	1	0	2	0	0	0	0
RAB3B	5865	P20337	25	12	7	1	3	0	2	0	0	0	0
DEK	7913	P35659	25	11	10	0	0	0	4	0	0	0	0
AKR7A2	8574	O43488	25	11	9	2	0	0	3	0	0	0	0
EIF3D	8664	O15371	25	8	7	4	2	1	3	0	0	0	0
RHBDF2	79651	Q6PJF5	25	8	7	1	4	0	5	0	0	0	0
STX3	6809	Q13277	25	13	2	2	2	0	6	0	0	0	0
CLDN1	9076	O95832	25	8	3	4	4	0	6	0	0	0	0
ABCG2	9429	Q9UNQ0	25	8	5	1	4	0	6	0	0	1	0
SNX5	27131	Q9Y5X3	25	8	7	0	5	0	5	0	0	0	0
ACP2	53	P11117	25	4	9	4	4	0	4	0	0	0	0
PKN1	5585	Q16512	25	9	3	0	4	0	9	0	0	0	0
CC2D1A	54862	Q6P1N0	25	11	5	3	1	0	5	0	0	0	0
RAB43	339122	Q86YS6	25	17	3	0	1	0	4	0	0	0	0
UBTD2	92181	Q8WUN7	25	9	9	2	3	0	2	0	0	0	0
ABCC2	1244	Q92887	25	6	2	2	3	0	12	0	0	0	0
TOP2B	7155	Q02880	25	12	9	1	0	0	3	0	0	0	0
APOE	348	P02649	24	7	8	3	3	2	0	0	0	0	1
SH3GL1	6455	Q99961	24	6	7	2	5	0	4	0	0	0	0
SERINC5	256987	Q86VE9	24	6	5	4	4	0	5	0	0	0	0
KRT8	3856	P05787	24	16	6	2	0	0	0	0	0	0	0
VTN	7448	P04004	24	8	5	2	4	1	4	0	0	0	0
ITGA5	3678	P08648	24	8	7	3	3	3	0	0	0	0	0
DDX17	10521	Q92841	24	7	6	3	3	1	4	0	0	0	0
NCSTN	23385	Q92542	24	16	7	1	0	0	0	0	0	0	0
M6PR	4074	P20645	24	6	10	3	1	0	4	0	0	0	0
PLSCR1	5359	O15162	24	8	9	3	4	0	0	0	0	0	0
SEPTIN8	23176	Q92599	24	10	8	1	3	0	2	0	0	0	0
KRT16	3868	P08779	24	17	4	0	0	3	0	0	0	0	0
COTL1	23406	Q14019	24	11	6	2	2	0	3	0	0	0	0
MYADM	91663	Q96S97	24	10	10	2	0	0	2	0	0	0	0
ACSL4	2182	O60488	24	10	10	1	3	0	0	0	0	0	0
NHP2L1	4809	P55769	24	9	5	4	2	0	4	0	0	0	0
ADAM9	8754	Q13443	24	5	9	2	3	2	3	0	0	0	0
PSMD14	10213	O00487	24	10	8	2	1	0	3	0	0	0	0
MATR3	9782	P43243	24	5	11	1	4	0	3	0	0	0	0
RPL36	25873	Q9Y3U8	24	8	5	4	3	0	4	0	0	0	0
TWF1	5756	Q12792	24	10	6	1	4	0	3	0	0	0	0
WASF2	10163	Q9Y6W5	24	8	9	3	3	0	1	0	0	0	0
GCN1L1	10985	Q92616	24	13	7	1	1	0	2	0	0	0	0
ATP4A	495	P20648	24	14	6	2	2	0	0	0	0	0	0
SERPINB6	5269	P35237	24	10	7	1	1	0	5	0	0	0	0
PLAU	5328	P00749	24	6	4	3	2	2	7	0	0	0	0
PPP2R4	5524	Q15257	24	8	2	4	2	0	8	0	0	0	0
RAB6B	51560	Q9NRW1	24	13	8	1	0	0	2	0	0	0	0
CLDND1	56650	Q9NY35	24	8	9	3	1	0	3	0	0	0	0
TMBIM1	64114	Q969X1	24	2	7	3	4	0	8	0	0	0	0
TUBA3E	112714	Q6PEY2	24	13	5	1	3	0	2	0	0	0	0
CNN3	1266	Q15417	24	6	7	2	2	0	7	0	0	0	0
CRKL	1399	P46109	24	12	5	4	1	0	2	0	0	0	0
SNRNP70	6625	P08621	24	10	9	0	2	2	1	0	0	0	0
SNRPB	6628	P14678	24	6	7	2	3	1	5	0	0	0	0
THBS2	7058	P35442	24	6	9	2	6	0	1	0	0	0	0
TPM2	7169	P07951	24	11	9	0	2	0	2	0	0	0	0
SEC23B	10483	Q15437	24	13	7	0	2	0	2	0	0	0	0
RALY	22913	Q9UKM9	24	5	10	2	3	1	3	0	0	0	0
C22orf28	51493	Q9Y3I0	24	9	9	3	2	0	1	0	0	0	0
STEAP3	55240	Q658P3	24	7	6	2	0	0	9	0	0	0	0
H1F0	3005	P07305	24	9	7	3	3	0	2	0	0	0	0
RBBP7	5931	Q16576	24	8	8	1	1	0	6	0	0	0	0
TRIM25	7706	Q14258	24	7	9	3	4	0	1	0	0	0	0
COPS2	9318	P61201	24	4	11	2	0	0	7	0	0	0	0
SERINC1	57515	Q9NRX5	24	9	9	2	0	1	3	0	0	0	0
MPP7	143098	Q5T2T1	24	12	4	1	3	0	4	0	0	0	0
FKBP3	2287	Q00688	24	4	9	4	1	0	6	0	0	0	0
GPS1	2873	Q13098	24	6	9	5	4	0	0	0	0	0	0
HEXA	3073	P06865	24	10	6	0	0	8	0	0	0	0	0
SPR	6697	P35270	24	13	4	3	1	0	3	0	0	0	0
HSPA4L	22824	O95757	24	11	8	2	1	0	2	0	0	0	0
RSL1D1	26156	O76021	24	6	8	4	1	0	5	0	0	0	0
AIFM2	84883	Q9BRQ8	24	6	3	3	5	0	7	0	0	0	0
CCDC50	152137	Q8IVM0	24	10	7	0	3	1	3	0	0	0	0
UQCRC2	7385	P22695	24	9	4	2	4	0	5	0	0	0	0
EEF1E1	9521	O43324	24	14	7	3	0	0	0	0	0	0	0
SERBP1	26135	Q8NC51	24	6	9	2	1	0	6	0	0	0	0
APLP2	334	Q06481	24	7	12	2	3	0	0	0	0	0	0
CNN2	1265	Q99439	24	9	8	2	0	0	5	0	0	0	0
CLDN4	1364	O14493	24	13	5	2	0	0	4	0	0	0	0
EPB41L1	2036	Q9H4G0	24	12	3	2	3	0	4	0	0	0	0
FTL	2512	P02792	24	6	10	4	3	0	1	0	0	0	0
MET	4233	P08581	24	9	7	1	1	0	6	0	0	0	0
UXT	8409	Q9UBK9	24	6	4	3	6	0	5	0	0	0	0
EIF3G	8666	O75821	24	6	7	2	4	0	5	0	0	0	0
PTPN23	25930	Q9H3S7	24	10	8	1	3	0	2	0	0	0	0
HEBP1	50865	Q9NRV9	24	8	6	3	3	0	4	0	0	0	0
SHCBP1	79801	Q8NEM2	24	7	5	4	4	0	4	0	0	0	0
KLC4	89953	Q9NSK0	24	5	9	1	5	0	4	0	0	0	0
MYO18A	399687	Q92614	24	12	4	3	3	0	2	0	0	0	0
BTK	695	Q06187	24	5	8	1	4	0	6	0	0	0	0
CEACAM5	1048	P06731	24	16	5	0	1	0	2	0	0	0	0
CLDN7	1366	O95471	24	10	4	2	4	0	4	0	0	0	0
CRYZ	1429	Q08257	24	10	5	2	5	1	1	0	0	0	0
GGT1	2678	P19440	24	6	6	3	4	0	5	0	0	0	0
GNS	2799	P15586	24	9	7	1	3	0	4	0	0	0	0
MDK	4192	P21741	24	13	6	2	0	1	2	0	0	0	0
PSMD9	5715	O00233	24	8	9	2	4	0	1	0	0	0	0
TRA2B	6434	P62995	24	6	7	3	3	1	4	0	0	0	0
SLC1A3	6507	P43003	24	9	6	2	0	2	5	0	0	0	0
ARFIP1	27236	P53367	24	10	4	1	6	0	3	0	0	0	0
CXorf26	51260	Q9BVG4	24	7	7	4	3	0	3	0	0	0	0
MAGOHB	55110	Q96A72	24	5	6	2	2	0	9	0	0	0	0
MUC13	56667	Q9H3R2	24	16	0	1	4	0	3	0	0	0	0
PAK2	5062	Q13177	24	9	6	2	3	0	4	0	0	0	0
PPP2R5C	5527	Q13362	24	9	5	1	1	0	8	0	0	0	0
TPD52	7163	P55327	24	9	4	2	2	0	7	0	0	0	0
STAM2	10254	O75886	24	9	8	3	3	0	1	0	0	0	0
COPS6	10980	Q7L5N1	24	12	6	2	1	0	3	0	0	0	0
SCFD1	23256	Q8WVM8	24	11	4	3	0	0	6	0	0	0	0
DAK	26007	Q3LXA3	24	13	4	3	1	0	3	0	0	0	0
UEVLD	55293	Q8IX04	24	14	6	1	2	1	0	0	0	0	0
PI4K2A	55361	Q9BTU6	24	5	10	1	5	0	3	0	0	0	0
ERBB2IP	55914	Q96RT1	24	11	8	2	2	0	1	0	0	0	0
CHMP1B	57132	Q7LBR1	24	9	8	5	0	1	1	0	0	0	0
GRWD1	83743	Q9BQ67	24	6	4	2	4	0	8	0	0	0	0
RAB3C	115827	Q96E17	24	14	5	1	0	0	4	0	0	0	0
PPID	5481	Q08752	24	8	9	1	1	0	5	0	0	0	0
SNRPA	6626	P09012	24	7	7	3	3	1	3	0	0	0	0
SPTBN2	6712	O15020	24	12	6	2	0	0	4	0	0	0	0
GEMIN2	8487	O14893	24	5	5	3	5	0	6	0	0	0	0
FBXO2	26232	Q9UK22	24	4	5	1	5	0	9	0	0	0	0
CEACAM1	634	P13688	24	12	5	1	3	0	3	0	0	0	0
CDK9	1025	P50750	24	14	3	1	2	0	4	0	0	0	0
ARMC6	93436	Q6NXE6	24	8	5	2	3	0	6	0	0	0	0
CLTB	1212	P09497	24	7	8	2	4	1	2	0	0	0	0
GFPT2	9945	O94808	24	14	6	2	1	0	1	0	0	0	0
AHSG	197	P02765	23	5	4	1	0	8	5	0	0	0	0
APOB	338	P04114	23	7	7	3	4	1	1	0	0	0	0
GLO1	2739	Q04760	23	8	7	3	0	0	5	0	0	0	0
ST14	6768	Q9Y5Y6	23	11	7	1	2	0	2	0	0	0	0
HSPA1B	3304	P0DMV8	23	16	6	1	0	0	0	0	0	0	0
ZC3HAV1	56829	Q7Z2W4	23	10	10	2	0	0	1	0	0	0	0
ANXA3	306	P12429	23	12	7	0	4	0	0	0	0	0	0
ATP6V1B2	526	P21281	23	11	7	1	2	0	2	0	0	0	0
NCAM1	4684	P13591	23	4	7	2	3	3	4	0	0	0	0
STXBP1	6812	P61764	23	7	5	2	5	0	4	0	0	0	0
SLC9A3R2	9351	Q15599	23	6	8	2	5	1	1	0	0	0	0
CHMP6	79643	Q96FZ7	23	10	6	1	2	0	4	0	0	0	0
OCLN	100506658	Q16625	23	11	9	0	2	0	1	0	0	0	0
FBL	2091	P22087	23	4	9	3	3	0	4	0	0	0	0
NMT1	4836	P30419	23	5	9	4	0	0	5	0	0	0	0
PHLDA1	22822	Q8WV24	23	4	3	4	4	0	8	0	0	0	0
DDOST	1650	P39656	23	10	5	2	1	1	4	0	0	0	0
PROM2	150696	Q8N271	23	7	4	2	2	0	8	0	0	0	0
IL1RAP	3556	Q9NPH3	23	4	6	4	3	2	4	0	0	0	0
PSCA	8000	O43653	23	7	2	3	7	0	4	0	0	0	0
ZDHHC5	25921	Q9C0B5	23	8	7	2	0	0	6	0	0	0	0
TAOK1	57551	Q7L7X3	23	9	8	0	3	0	3	0	0	0	0
ATP2A2	488	P16615	23	7	5	1	4	0	6	0	0	0	0
MTAP	4507	Q13126	23	12	7	3	0	0	1	0	0	0	0
PAFAH1B3	5050	Q15102	23	8	10	4	0	0	1	0	0	0	0
PSPH	5723	P78330	23	9	5	4	0	0	5	0	0	0	0
PDLIM1	9124	O00151	23	7	8	2	4	0	2	0	0	0	0
UBA2	10054	Q9UBT2	23	6	10	0	2	0	5	0	0	0	0
COASY	80347	Q13057	23	11	5	3	0	0	4	0	0	0	0
ACTL6A	86	O96019	23	4	10	2	4	0	3	0	0	0	0
CTSC	1075	P53634	23	2	6	1	3	1	10	0	0	0	0
DYNC1I2	1781	Q13409	23	5	7	4	4	0	3	0	0	0	0
F3	2152	P13726	23	6	8	3	2	1	3	0	0	0	0
HK1	3098	P19367	23	2	6	3	5	0	7	0	0	0	0
PTPRE	5791	P23469	23	6	5	4	3	0	5	0	0	0	0
SNX2	6643	O60749	23	6	7	1	5	0	4	0	0	0	0
KYNU	8942	Q16719	23	4	4	4	3	0	8	0	0	0	0
FIBP	9158	O43427	23	7	5	2	1	0	8	0	0	0	0
GDF15	9518	Q99988	23	9	5	3	2	0	4	0	0	0	0
CCM2	83605	Q9BSQ5	23	7	4	2	3	0	7	0	0	0	0
PLCD3	113026	Q8N3E9	23	9	7	0	5	0	2	0	0	0	0
TOM1L2	146691	Q6ZVM7	23	14	6	1	1	0	1	0	0	0	0
CSPG4	1464	Q6UVK1	23	1	3	4	5	7	3	0	0	0	0
HADHA	3030	P40939	23	9	5	3	1	0	5	0	0	0	0
INSR	3643	P06213	23	7	5	1	5	0	5	0	0	0	0
ARHGEF7	8874	Q14155	23	5	7	2	4	0	5	0	0	0	0
H1FX	8971	Q92522	23	7	6	2	4	0	4	0	0	0	0
DDX21	9188	Q9NR30	23	9	7	2	0	0	5	0	0	0	0
ABI2	10152	Q9NYB9	23	8	7	0	6	0	2	0	0	0	0
SH3BP4	23677	Q9P0V3	23	10	8	3	2	0	0	0	0	0	0
HEATR2	54919	Q86Y56	23	6	8	0	2	0	7	0	0	0	0
CSNK1G3	1456	Q9Y6M4	23	7	6	3	2	0	5	0	0	0	0
DAG1	1605	Q14118	23	7	7	3	2	0	4	0	0	0	0
DNM1	1759	Q05193	23	8	5	2	4	0	4	0	0	0	0
GJA1	2697	P17302	23	5	6	3	4	1	4	0	0	0	0
ROCK1	6093	Q13464	23	6	7	1	1	0	8	0	0	0	0
SRSF2	6427	Q01130	23	9	8	1	2	1	2	0	0	0	0
SSR4	6748	P51571	23	10	4	4	2	0	3	0	0	0	0
CHMP2B	25978	Q9UQN3	23	6	6	4	3	1	3	0	0	0	0
KRT76	51350	Q01546	23	18	3	0	1	0	1	0	0	0	0
SAR1A	56681	Q9NR31	23	12	7	2	2	0	0	0	0	0	0
MAPK1IP1L	93487	Q8NDC0	23	7	4	3	4	0	5	0	0	0	0
PCSK9	255738	Q8NBP7	23	11	5	2	2	0	3	0	0	0	0
ACYP1	97	P07311	23	9	5	3	4	0	2	0	0	0	0
CBFB	865	Q13951	23	6	3	2	4	0	8	0	0	0	0
CTSZ	1522	Q9UBR2	23	7	8	2	1	1	4	0	0	0	0
IGJ	3512	P01591	23	3	9	3	4	0	4	0	0	0	0
LIMS1	3987	P48059	23	5	6	2	3	0	7	0	0	0	0
MST1R	4486	Q04912	23	16	3	0	4	0	0	0	0	0	0
OPA1	4976	O60313	23	6	10	2	2	0	3	0	0	0	0
PRNP	5621	P04156	23	5	10	4	3	0	1	0	0	0	0
S100A13	6284	Q99584	23	7	7	3	3	0	3	0	0	0	0
TCEB1	6921	Q15369	23	12	6	2	3	0	0	0	0	0	0
ZYX	7791	Q15942	23	9	5	1	1	0	7	0	0	0	0
GPR56	9289	Q9Y653	23	9	7	0	4	0	3	0	0	0	0
SART3	9733	Q15020	23	6	8	1	4	0	4	0	0	0	0
TSPAN3	10099	O60637	23	8	7	3	2	0	3	0	0	0	0
TCIRG1	10312	Q13488	23	3	7	3	3	0	7	0	0	0	0
IFITM3	10410	Q01628	23	10	5	2	1	0	5	0	0	0	0
STK25	10494	O00506	23	11	4	2	3	0	3	0	0	0	0
UFL1	23376	O94874	23	10	3	2	4	0	4	0	0	0	0
CAPN7	23473	Q9Y6W3	23	4	4	1	5	1	8	0	0	0	0
DCUN1D1	54165	Q96GG9	23	6	5	2	3	0	7	0	0	0	0
VPS13C	54832	Q709C8	23	12	5	2	1	0	3	0	0	0	0
BCCIP	56647	Q9P287	23	8	7	2	3	0	3	0	0	0	0
UBTD1	80019	Q9HAC8	23	7	7	2	1	0	6	0	0	0	0
ATP5O	539	P48047	23	11	5	4	2	0	1	0	0	0	0
CDC27	996	P30260	23	7	7	2	5	0	2	0	0	0	0
FUCA2	2519	Q9BTY2	23	6	8	3	4	0	2	0	0	0	0
MSH2	4436	P43246	23	6	9	0	3	0	5	0	0	0	0
COX2	4513	P00403	23	7	2	5	2	0	7	0	0	0	0
PMM2	5373	O15305	23	11	3	2	1	0	6	0	0	0	0
INADL	10207	Q8NI35	23	14	3	1	1	0	4	0	0	0	0
EMR2	30817	Q9UHX3	23	6	7	2	1	0	7	0	0	0	0
ANKFY1	51479	Q9P2R3	23	8	5	4	3	0	3	0	0	0	0
C14orf166	51637	Q9Y224	23	9	9	1	1	0	3	0	0	0	0
BAIAP2L1	55971	Q9UHR4	23	15	5	0	1	0	2	0	0	0	0
KIAA1522	57648	Q9P206	23	11	7	0	1	0	4	0	0	0	0
SNX6	58533	Q9UNH7	23	4	7	1	4	0	7	0	0	0	0
ABHD14B	84836	Q96IU4	23	10	5	2	1	0	5	0	0	0	0
RAB2B	84932	Q8WUD1	23	15	4	1	3	0	0	0	0	0	0
MYL12B	103910	O14950	23	16	6	1	0	0	0	0	0	0	0
ALDH2	217	P05091	23	8	5	1	1	4	4	0	0	0	0
CSNK2A2	1459	P19784	23	12	6	2	2	0	1	0	0	0	0
DSC2	1824	Q02487	23	5	5	2	5	0	6	0	0	0	0
PRKAA1	5562	Q13131	23	8	8	3	1	0	3	0	0	0	0
SRP72	6731	O76094	23	7	8	2	0	0	6	0	0	0	0
PPFIBP2	8495	Q8ND30	23	5	7	0	6	0	5	0	0	0	0
TM9SF4	9777	Q92544	23	5	8	5	2	0	3	0	0	0	0
TRMT112	51504	Q9UI30	23	6	5	2	5	0	5	0	0	0	0
ARHGAP18	93663	Q8N392	23	9	2	3	2	0	7	0	0	0	0
CST3	1471	P01034	23	8	4	3	3	0	5	0	0	0	0
RFC5	5985	P40937	23	4	8	2	2	0	7	0	0	0	0
EIF4H	7458	Q15056	23	11	7	2	2	0	1	0	0	0	0
CREG1	8804	O75629	23	5	6	3	4	0	5	0	0	0	0
PAPSS1	9061	O43252	23	5	9	2	3	0	4	0	0	0	0
KIAA0196	9897	Q12768	23	11	6	3	2	0	1	0	0	0	0
C5orf15	56951	Q8NC54	23	6	4	4	5	0	4	0	0	0	0
DYSF	8291	O75923	23	3	8	2	3	0	7	0	0	0	0
NUBP2	10101	Q9Y5Y2	23	7	3	2	4	0	7	0	0	0	0
FAM49A	81553	Q9H0Q0	23	6	9	3	4	0	1	0	0	0	0
SNX1	6642	Q13596	23	4	8	3	4	0	4	0	0	0	0
LTF	4057	P02788	22	6	7	1	2	1	5	0	0	0	0
BASP1	10409	P80723	22	4	7	4	3	2	2	0	0	0	0
VPS37C	55048	A5D8V6	22	6	5	2	4	0	5	0	0	0	0
